headline,sentiment
"Stocks in focus: SpiceJet, Coal India, Star Health and more",Neutral
"Stocks in focus: Biocon, IIFL Finance, Chennai Petro and more",Neutral
"Stocks in focus: BPCL, RIL, PB Fintech and more",Neutral
"LIC IPO will be the biggest in India despite reduced offer size: Tuhin Kanta Pandey, DIPAM Secretary",Neutral
Rainbow Children's Medicare IPO opens for subscription; here's what you need to know,Neutral
"Stocks in focus: RIL, Wipro, HDFC Bank and more",Neutral
Watch: Adani Wilmar becomes seventh Adani Group stock to cross the Rs 1 lakh crore market cap mark,Neutral
Campus Activewear Rs 1400 crore IPO opens for subscription,Neutral
"Stocks in focus: HDFC AMC, GMDC, Eveready and more",Neutral
"Aditya Birla group weighs ACC, Ambuja Cement bid",Neutral
ICICI Bank: The turnaround story in banking sector,Neutral
"Stocks in focus: Tata Motors, Torrent Power, HDFC Bank and more",Neutral
"Stocks in focus: Barbeque Nation, HCL Tech, Crisil and more",Neutral
"Stocks in focus: ICICI Securities, Tata Steel, Oil India and more",Positive
"Stocks in focus: GAIL, HDFC Life, Bharti Airtel and more",Neutral
Tata Steel to consider proposal to split equity shares on May 3,Positive
"Stocks in focus: BPCL, Ultratech Cement, Spicejet and more",Neutral
"Stocks in focus: Anand Rathi Wealth, ICICI Bank, Thermax and more",Positive
"Stocks in focus: Delta Corp, Wipro, JSW Steel and more",Neutral
"Ruchi Soya gets a new name, CEO Asthana talks about the zero debt company",Negative
"Stocks in focus: Adani Enterprises, Chola Investment, NTPC and more",Neutral
"Stocks in focus: HDFC Bank, IGL, Macrotech Developers and more",Neutral
"Invesco to sell 7.8% stake of ZEE Ent for Rs 2,200 cr via block deal",Negative
"Stocks in focus: Marico, Bandhan Bank, Mahanagar Gas and more",Neutral
"After deal with Citi, now Axis Bank likely to raise around Rs 20,000 cr fund: ET Now Exclusive",Positive
"Stocks in focus: SBI Card, Vedanta, Zomato and more",Neutral
"Stocks in focus: NMDC, Dhanlaxmi Bank, IDFC and more",Neutral
"Stocks in focus: Ruchi Soya, Vedanta, Nestle India and more",Neutral
"Stocks in focus: Hindalco, Info Edge, Tejas and more",Neutral
"Stocks in focus: Hero Moto, ONGC, United Spirits and more",Positive
"Stocks in focus: Ruchi Soya, GMR Infra, Power Grid and more",Neutral
"Stocks in focus: Vedanta, Wipro, L&T and more",Neutral
"Stocks in focus: Capri Global, Yes Bank, ONGC and more",Positive
"Ruchi Soya FPO: From price band to valuations, here's all you need to know",Neutral
"Stocks in focus: Ruchi Soya, ICICI Bank, TCS and more",Neutral
"Stocks in focus: SAIL, BPCL,  Indian Hotels and more",Neutral
"Stocks in focus: Equitas, HPCL, Wipro and more",Neutral
"Stocks in focus: RIL, Jindal steel, TCS and more",Neutral
"Stocks in focus: Oil India, SAIL, Godrej Industries and more",Neutral
"Stocks in focus: IndiGo, Shyam Metalics, Zomato and more",Neutral
"Stocks in focus: RIL, Persistent Systems, BPCL and more",Neutral
"Stocks in focus: HDFC Bank, Paytm, Ruchi Soya and more",Neutral
"Stocks in focus: Colgate, Tata Steel, GAIL and more",Neutral
"Stocks in focus: Indusind Bank, RIL, Spicejet and more",Neutral
"Stocks in focus: Natco Pharma, Vedanta, ICICI Pru and more",Neutral
"Stocks in focus: Bajaj Finserv, ONGC, BPCL and more",Neutral
"Stocks in focus: Vedanta, UPL, JSW Steel and more",Neutral
"Stocks in focus: Bharti Airtel, RIL, Vodafone Idea and more",Neutral
"Stocks in focus: Linde India, UPL, Rain Industries and more",Neutral
"Stocks in focus: Indus Towers, Vedanta, Sanofi India and more",Neutral
"Stocks in focus: Hindalco, Hero motocorp, Indiamart and more",Positive
"Stocks in focus: Escorts, GMDC, JMC projects and more",Neutral
"Stocks in focus: Ambuja Cement, Tata Motors, GHCL and more",Neutral
"Stocks in focus: Tech Mahindra, Amara Raja, Burger King and more",Neutral
"Stocks in focus: Coal India, Paytm, Adani Ent and more",Neutral
"Stocks in focus: TCS, Adani power, Wipro and more",Neutral
"Stocks in focus: Aurobindo Pharma, Dr Reddy's Labs, Tata Steel and more",Neutral
"Stocks in focus: Vedanta, Lupin, IRCTC and more",Neutral
"Stocks in focus: Hindalco, Bharti Airtel, PB Fintech and more",Neutral
Paytm can generate huge amount of earnings long-term: Madhur Deora,Positive
"Stocks in focus: Tata Steel, NTPC, Shree Cement and more",Neutral
"Stocks in focus: MRF, Dabur India, JK Tyre and more",Positive
"Stocks in focus: BPCL, Tata Tele, Adani ports and more",Neutral
"Stocks in focus: NTPC, Edelweiss, BPCL and more",Neutral
"Stocks in focus: L&T, Marico, Indusind Bank and more",Neutral
Google to invest up to $1 billion in Indian telecom operator Bharti Airtel,Neutral
"Stocks in focus: Zomato, TVS Motor, Coforge Ltd and more",Neutral
"Stocks in focus: United Spirits, Cipla, Torrent Pharma and more",Positive
"Stocks in focus: Bharti Airtel, Axis Bank, Hero Moto and more",Positive
"Stocks in focus: RIL, JSW Steel, Vodafone Idea and more",Neutral
"Stocks in focus: Tata Steel, HFCL, Bajaj Fin and more",Neutral
"Stocks in focus: Hinduja Global, Maruti Suzuki, HCL tech and more",Neutral
"Stocks in focus: Tata Metaliks, HCL tech, Zomato and more",Neutral
"Stocks in focus: Tata Motors, Infosys, TCS and more",Neutral
"Stocks in focus: RBL Bank, NHPC, Motherson Sumi and more",Neutral
"Stocks in focus: Bajaj Fin, Thermax, Bharti Airtel and more",Neutral
"Stocks in focus: Marico, Vedanta, HDFC and more",Neutral
"Stocks in focus: RIL, GMR Infra and Dr Reddy's Labs",Neutral
"Stocks in focus: RBL Bank, Paytm, Ashoka Buildcon and more",Neutral
Data Patterns makes stellar debut; CEO Rangarajan shares growth outlook,Positive
"Stocks in focus: L&T Finance, HCL Tech, Allcargo Logistics and more",Neutral
"Stocks in focus: Zee Ent, Yes Bank, Indiamart and more",Positive
"Stocks in focus: GCPL, Wipro, Adani Ent and more",Neutral
"Stocks in focus: Tata Motors, GAIL, Supriya Life and more",Neutral
"Stocks in focus: Dr Reddy's, Tata Power, RIL and more",Neutral
"ITC analysts meet key takeaways: No concrete plan for demerger, listing announced",Negative
"Stocks in focus: Vedanda, BPCL, Wipro and more",Neutral
"Stocks in focus: RIL, NALCO, Hind Copper and more",Neutral
"Stocks in focus: Vedanta, Balaji Amines, Wipro and more",Neutral
"Stocks in focus: IEX, Triveni Engg, Lyka labs and more",Neutral
"Stocks in focus: Airtel raises tariffs; IRCTC, ONGC and more",Neutral
Paytm is all set to list on stock exchange on November 18,Neutral
"Stocks in focus: Escorts, Jindal Steel, Cipla and more",Neutral
Tarsons Products IPO opens: Company's Whole-Time Director Rohan Sehgal shares future business plans,Positive
"Stocks in focus: NYKAA, ONGC, Grasim and more",Neutral
"Stocks in focus: RIL, TVS Motors, Aurobindo Pharma and more",Neutral
"Stocks in focus: Sun Pharma, Divi's lab and more",Neutral
LIC may surpass year’s net profit in FY22: MR Kumar,Positive
"Stocks in focus: PSP Projects, Tata Steel, Easy Trip and more",Positive
"Paytm IPO opens on November 8; for us to win, nobody else needs to lose: Vijay Shekhar Sharma, CEO",Positive
"Stocks in focus: Bajaj Auto, L&T and more",Neutral
Nykaa IPO to open on Oct 28; seeks valuation of 7.4 billion dollar,Neutral
"Stocks in focus: Tata Elxi, Apollo tyres and more",Neutral
"Stocks in focus: Biocon, Mphasis and more",Neutral
"Stocks in focus: L&T Finance, Tata steel and more",Neutral
"Stocks in focus: ACC, L&T Tech and more",Neutral
"Stocks in focus: L&T Infotech, Tata Coffee and more",Neutral
"Stocks in focus: PNB Housing, Tata Power and more",Neutral
"Stocks in focus: SCI, Zee Ent, Westlife and more",Neutral
"Stocks in focus: Tata Metaliks, Delta Corp, HCL Tech and more",Neutral
Reliance New Energy Solar to acquire 40% stake in Sterling and Wilson Solar,Positive
"Stocks in focus: RIL, Tata Motors, SH Kelkar and more",Neutral
"Stocks in focus: Oberoi realty, Tata Motors and more",Neutral
"Stocks in focus: Titan, Sobha and more",Neutral
"Stocks in focus: Marico, Bajaj Finance, HDFC Bank and more",Neutral
"Stocks in focus: HDFC Bank, Hindustan Zinc, JSW Energy and more",Positive
"Stocks in focus: D-Mart, Coal India, Grasim and more",Neutral
"Stocks in focus: Maruti Suzuki, NBCC, Just Dial and more",Neutral
"Stocks in focus: IOB, Reliance, JK Cements and more",Positive
Aditya Birla Sun Life AMC IPO opens today: Key things you need to know,Neutral
"Stocks in focus: HDFC AMC, NBCC, Axis Bank and more",Neutral
"Stocks in focus: RIL, Raymond, BPCL and more",Neutral
"Stocks in focus: Biocon, United Breweries, Dalmia Bharat and more",Positive
"Stocks in focus: Adani Enterprises, Vedanta, L&T and more",Neutral
Watch: Founders celebrate after Freshworks Nasdaq listing,Positive
"Stocks in focus: Adani ports, GMR Infra and more",Neutral
"Stocks in focus: Torrent Power, SBI Card and more",Neutral
"Stocks in focus: SBI Cards, HAL, HCL Tech and more",Neutral
"Stocks in focus: RVNL, Welspun India, Nazara Tech and more",Neutral
"Stocks in focus: Hindustan Copper, Wipro, Zee Ent and more",Neutral
"Unicorn ed-tech firm Byju's lays off at least 1,000 more employees across various functions",Neutral
"Tata Trusts appoints Siddharth Sharma as CEO, Aparna Uppaluri as COO",Positive
"Government to release standards for checking fake reviews on e-commerce,  other platforms",Negative
"Reliance retail, Adani group companies among bidders for Future Retail",Neutral
"BharatPe co-founder Ashneer Grover resigns, says he’s been vilified by investors",Negative
ZEE and Sony sign definitive agreements to merge companies; Sony to own 50.86% stake,Positive
KM Birla stepping down as Vodafone Idea's Non-Executive Chairman,Neutral
New airline 'Akasa' in talks with the top management of Jet Airways,Positive
"Swiggy COO Vivek Sunder to step down, CEO Sriharsha Majety takes over role",Neutral
"Bharti Airtel, Tata Group team up to deploy 5G network solutions in India",Positive
TATAs sign deal to buy 65% stake in 1MG,Neutral
China's Zhong Shanshan replaces Mukesh Ambani as Asia's richest person,Positive
ITAT relief for Tata trusts; tax tribunal says Mistry's claims 'doubtful',Positive
Tata Sons chairman N Chandrasekaran writes to employees about opportunities for 'renewal' amid Covid-19,Positive
Infosys inks deal with Daimler to grow its automotive biz,Neutral
"Flipkart announces PhonePe spin-off, digital payments company to be valued at $5.5 billion",Positive
"Future Group lost Rs 7,000 cr revenue in first 3-4 months of Covid-19 pandemic: Kishore Biyani",Negative
Amazon sends legal notice to Future Group for 'breaching' non-compete contract over deal with RIL,Positive
IT major Wipro to give employees promotions this December,Neutral
Murugappa female heir denied board berth in Ambadi Investments,Negative
Dinesh Khara recommended as next SBI Chairman by Banks Board Bureau,Positive
Reliance Retail acquires majority stake in Netmeds for Rs 620 crore,Neutral
Telecom sector yet to emerge from woods; Govt support must to ensure viability: Sunil Mittal,Positive
"IndiGo implements more salary cuts for senior management, pilots",Negative
Wipro has no plan to lay off workers due to pandemic: Rishad Premji,Negative
Bid for Air India: Tata group sole contender; govt not willing to extend deadline,Neutral
Aurangabad: Bajaj Auto to cut 50% wages of Waluj plant employees if lockdown imposed,Negative
Tata plans layoffs to save fixed costs as profit dips,Positive
No paucity in demand; all flights completely full: SpiceJet CMD,Negative
"Vista Equity Partners picks 2.32% stake in Jio Platforms for Rs 11,367 cr",Neutral
Will partial relaxation of Lockdown help e-comm players build up lost business?,Positive
"Covid-19 crisis: SpiceJet to pay part salaries to 92% of employees, no job cuts",Negative
"India Inc gradually inches back to work, here's an industry-wise analysis",Neutral
"No salaries for Apr, May; hours flown-based pay for those operating cargo flights: SpiceJet to pilots",Negative
Watch: Facebook CEO Mark Zuckerberg on Reliance Jio deal,Neutral
"Lighter planes, fewer entertainment options, no meals in the short run: SpiceJet CMD on future of flying",Positive
Amul assures regular supply of products amidst 21 day lockdown,Positive
"Economic impact of COVID-19: Industry offered full support to PM Modi, says Pawan Goenka",Positive
"SBI prepares Rs 20,000 cr bailout plan to rescue Yes Bank",Positive
Amazon files writ petition in K'taka HC seeking stay on CCI probe order,Positive
ITC hikes cigarette prices for 74mm size by Rs 10/pack: Srcs,Neutral
Adani Group MD Rajesh Adani arrested in duty evasion case,Negative
Business is looking good: Motherson Sumi,Positive
SKS Microfinance surges on draft MFI Bill,Neutral
Chu Chu TV: Making nursery rhymes cool,Positive
AirAsia CEO Tony Fernandes steps aside amid bribery probe,Neutral
"Kotak Mahindra Bank vs RBI: Bank to withdraw court case, pare promoter stake to 26%",Neutral
"Godfrey Phillips India, other KK Modi businesses up for sale",Positive
Mirchi PMLA case: ED arrests DHFL promoter Kapil Wadhawan,Negative
"Centre rolls out Air India's disinvestment process, seeks Expression of Interest",Positive
India- UK Building Bonds: In conversation with the British High Commissioner to India,Neutral
"Adani Ports bags 75% stake in Krishnapatnam Port for Rs 13,572cr",Neutral
Tata vs Mistry case: Ratan Tata moves SC against NCLAT order,Neutral
"Tata Starbucks CEO Navin Gurnaney on hot new launches in India, plan for FY20",Neutral
SBI to introduce OTP-based ATM withdrawals from January 2020,Neutral
Management rejig at M&M: Anand Mahindra to be non-executive chairman,Neutral
"Telecom ARPU needs to reach Rs 300, Trai intervention needed: Sunil Mittal",Neutral
Axis Bank’s Jairam Sridharan resigns as CFO,Negative
Vodafone Idea will close if govt does not provide any relief: KM Birla,Negative
"ET Now Exclusive: Ritesh Agarwal on OYO roadmap, role of Aditya Ghosh",Positive
"Low tariff regime over, telcos up rates by 40-50%",Negative
"Yes Bank promoter Rana Kapoor, Morgan Credits and YES Capital sell remaining 0.8% stake",Positive
"CSB Bank IPO price band set at Rs 193-195, to raise Rs 410 cr",Neutral
"SC holds former Ranbaxy promoters Malvinder, Shivinder Singh guilty of contempt of court",Negative
"Essar Steel case verdict: SC sets aside NCLAT order, upholds CoC's rights over claim distribution",Positive
"Sluggish export hurting company: Rajiv Batra, Cummins India CFO",Negative
"Merger process will not go ahead with LVB post RBI rejection: Ajit Kumar Mittal, Indiabulls Group",Negative
Working with VTB to restructure debt after next tranche: ZEE MD Punit Goenka,Negative
"NRAI issues almost fixed, restaurants coming back: Sanjeev Bhikchandani, Zomato",Neutral
Vodafone Idea CEO Balesh Sharma steps down; Ravinder Takkar to take over,Neutral
"We don't see any slowdown in biscuit category: R S Sodhi, Amul",Neutral
"Periodical downturn has coincided with policy changes: RC Bhargava, Maruti Suzuki",Neutral
Indigo spat: MCA seeks clarification on corporate governance lapses,Neutral
"At his last AGM as chairman, Azim Premji talks about Wipro's future",Neutral
DHFL auditors seek more information on financials,Neutral
Jet saga: CoC to finalise investor hunt process for Jet Airways Tuesday,Neutral
NCLAT rejects Prashant Ruia's Plea against Arcelor's bid for Essar Steel,Negative
Jet Airways bidding: Hindujas exploring options,Neutral
Airtel Africa drops 16% in early trade after London debut,Neutral
Jet Airways insolvency: SBI files caveat in NCLAT to ensure no disruption in process,Negative
HDFC acquires majority stake in Apollo Munich Health Insurance,Neutral
Wockhardt plans to demerge its India formulations business,Neutral
"Google India VP Rajan Anandan quits, to join Sequoia Capital",Positive
"There is compelling need to focus on Biosimilar from govt, patients' point of view: Kiran Mazumdar-Shaw",Positive
Mindtree board decides not to proceed with buyback of share,Positive
"Jet Airways founder Naresh Goyal, his wife Anita Goyal likely to step down from board",Neutral
Mindtree promoters oppose hostile takeover bid by L&T,Negative
RCom-Ericsson case: NCLAT refuses to direct SBI to release Rs 259 cr,Neutral
Kotak counsel proposes reducing promoter stake to 20% by May 2020,Neutral
"ArcelorMittal bags Essar Steel as NCLT Ahmedabad clears Rs 42,000 cr takeover bid",Positive
India Inc's average salary increment expected to be 9.7% in 2019: Aon survey,Neutral
Naresh Goyal agrees to step down as chairman of Jet Airways,Positive
Jet Airways' pilots warn of 'non-cooperation' from March 1,Negative
" Swiggy moves beyond food delivery, opens stores to deliver everyday needs",Neutral
SUUTI proposes to sell up to 3% stake in Axis Bank via OFS,Neutral
Battle for Essar steel: SC rejects pleas by operational creditors,Negative
Shares of Hotel Leela goes up 3% on Brookfield deal,Positive
Binny Bansal opens up on life after Flipkart,Neutral
Yes Bank co-promoters agree to nominate one representative director each on board,Positive
"Flipkart CEO writes to Indian govt, warns major 'customer disruption' if new rules not delayed",Negative
Setback to Ruias: NCLT rejects Essar Steel promoter’s settlement bid,Negative
Yes Bank gets RBI approval for Ravneet Singh Gill to be CEO,Positive
"Vodafone Idea board approves Rs 25,000 crore rights issue",Positive
"No scarcity of jobs but of right talent: Rajesh Gopinathan, TCS CEO",Positive
Sun Pharma shares crash 8.5% amid reports of fresh whistleblower complaint,Negative
HC to hear Kotak Mahindra Bank’s plea on promoter stake dilution in March,Neutral
"Naresh Goyal says he is ready to invest Rs 700 crore in Jet Airways, but with conditions",Positive
"SBI puts out auction notice for sale of Essar Steel loan of Rs 15,431 crore",Neutral
Govt simplifies process for startups to seek tax exemption on angel fund investments,Neutral
Need airplanes that help reduce costs: Dinesh Keskar of Boeing,Positive
"Flipkart churn: Ananth Narayanan quits as Myntra-Jabong CEO, Amar Nagaram takes charge",Neutral
"YES Bank board shortlists candidates to replace MD, CEO",Positive
SC seeks response from RCom chief Anil Ambani on Ericsson's contempt petition,Negative
Bandhan Bank set to acquire HDFC-led Gruh Finance in share swap deal,Positive
2019 will be a very good year for milk farmers: RS Sodhi of Amul,Positive
HDFC group overtakes Tatas to become second-most valued company on BSE,Positive
Online grocery retail model challenged seriously: Kishore Biyani on new FDI norms,Negative
"Good holiday season despite multiple challenges: Madhavan Menon, CMD of Thomas Cook",Positive
"Planning to improve our sales, future investments: Acharya Balkrishna of Patanjali Ayurveda",Positive
Marlboro owner Altria set to buy 35% stake in Juul,Neutral
Infosys names Bharti Airtel's Nilanjan Roy as CFO,Neutral
Bharti Airtel forms special committee of directors for fund raising,Positive
"Angel tax woes: Have taken up issue of startups with finance ministry, says Suresh Prabhu",Negative
Setback for Kotak: No stay on RBI's promoter stake dilution order,Negative
"Edtech startup Byju's raises $540 million from Naspers Ventures, CPPIB",Neutral
"Trouble mounts for Jet Airways, SBI orders forensic audit from FY15",Negative
"TDSAT strikes down Trai's predatory pricing rule; big relief for Airtel, Voda-Idea",Positive
Finalised recommendation for non-exec part-time chairman: YES Bank,Positive
"Revenue to start kicking in immediately after deal for IBM products is closed in mid-2019: C Vijayakumar, HCL Tech",Neutral
Not aware of any whistleblower complaint so far from SEBI: Dilip Shanghvi,Negative
Unilever buys GSK's Indian Horlicks business for 3.3 billion Euros,Neutral
"SC asks RCom to deposit corporate guarantee of Rs 1,400 cr for spectrum sale to RJio",Positive
Unilever emerges as leading bidder for Horlicks: Reports,Neutral
"Essar case: GAIL, GETCO move NCLT seeking rejection of ArcelorMittal bid",Negative
"Air India ground staff go on strike in Mumbai, flights affected",Negative
IL&FS appoints FTAs to harmonise asset monetisation activities,Positive
Seeing positive momentum from US market for BFSI vertical: TCS,Positive
ICICI Bank accepts CEO Chanda Kochhar's request for early retirement,Positive
IDBI Bank board approves preferential allotment of equity shares to LIC,Positive
"Supreme Court allows ArcelorMittal, Numetal to bid for Essar Steel",Positive
"TDSAT allows RCom to sell spectrum to Jio, telco to repay Ericsson",Neutral
Challenge at Nestle is not what to launch but when to launch: Suresh Narayanan,Neutral
"LIC to exit over Rs 5,000 crore stake in Tata Sons",Neutral
Alibaba’s Jack Ma to retire from company he co-founded,Neutral
Future Group partners New Zealand dairy firm Fonterra,Neutral
Grofers co-founder Saurabh Kumar explains how Grofers made a comeback,Neutral
Novelis to buy downstream aluminium producer Aleris in $2.58 billion deal,Neutral
"Overnight success like ours is actually a 5-10 yr journey, OYO founder Ritesh Agarwal",Positive
"ET Startup Awards 2018: OYO to FreshMenu founders, find out who all have won ",Positive
IHH may merge existing India hospital portfolio with Fortis Healthcare ,Neutral
ICICI Bank appoints Sandeep Batra as president ,Neutral
"Amazon Prime Day sale lures online shoppers, Up to 80% off & 55 plus new launches ",Positive
LIC board approves IDBI Bank buyout proposal ,Positive
Mukesh Ambani pips Jack Ma to become richest person in Asia,Positive
"PE Funds, companies in race to acquire Kraft Heinz India’s consumer food unit",Neutral
Need a clear prevention of corruption law: Aditya Puri ,Positive
Watch: What to expect from RIL's AGM tomorrow?,Neutral
Tata vs Mistry: NCLT adjourns order pronouncement to July 9,Neutral
"No delay from government’s side, says Manoj Sinha on Vodafone-Idea merger",Negative
Malaysia's IHH Healthcare submits fresh bid for Fortis,Positive
Tata mulls folding food businesses into single company,Neutral
Vedanta chairman's family trust agrees to buy rest of the firm ,Positive
Canada announces billions of dollars in retaliatory tariffs against US,Neutral
Strong action to be taken against illicit Swiss deposits: Piyush Goyal,Positive
Former bureaucrat appointed as part-time non-executive chairman of ICICI Bank,Neutral
"LIC-IDBI Bank deal finalised; may infuse Rs 13,000 crore in bank",Neutral
"Bid ask spread for Air India was too wide and market did not get clarity, says Jayant Sinha",Negative
BSE to launch new platform to list new-age companies,Neutral
InMobi forms strategic partnership with Microsoft to fast track growth strategy,Positive
Tata Sons' 5-yr vision plan tomorrow: Here's what to expect,Positive
"ICICI Bank, Chanda Kochhar under US regulator SEC's scanner; Indian agencies may seek foreign help",Positive
Carlyle looking to sell its 33% holding in PNB Housing Finance,Neutral
"FTIL case: Jignesh Shah, 9 others declared 'not fit and proper' to hold office",Negative
"Sebi probe into co-location case nearing end; NSE, select brokers face stringent action",Neutral
ICICI Bank may seek to settle Chanda Kochhar case with Sebi,Neutral
NCLT admits SBI's Insolvency plea against Videocon Industries,Positive
AirAsia CEO Tony Fernandes gives CBI summons a miss,Negative
Nikesh Arora gets $128 million to lead Palo Alto Networks,Neutral
Whistle-blower levels fresh allegations of quid pro quo deals against Chanda Kochhar,Positive
Three Fortis Healthcare board members resign ahead of EGM,Negative
FM Piyush Goyal promises help to 11 PSBs under RBI watch list,Positive
"Rcom, Ericsson request NCLT to keep insolvency order in abeyance",Neutral
Kishore Biyani looking to close a deal of his own with a global retailer,Neutral
Why Walmart agreed to spend $16 bn for Flipkart,Positive
Flipkart board signs preliminary pact with Walmart for stake sale,Neutral
Race for Fortis: Deadline for revised bids ends on May 1,Neutral
Appraisal time: Capgemini employees' rant on hike light up social media,Negative
Fortis board extends deadline to submit binding bids for hospital chain,Positive
"Aditya Ghosh resigns as IndiGo president, Rahul Bhatia named interim CEO",Negative
"Watch: Bharti Infratel, Indus Towers merging to form world's second-largest mobile mast firm",Neutral
Hunt for CEO: Egon Zehnder on a lookout for Shikha Sharma's successor at Axis bank,Positive
Race for Essar Steel: NCLT rules second round of bids invalid,Neutral
NCLT approves Vedanta's bid; Electrosteel becomes first to be resolved under IBC,Positive
"Our offer for Fortis is very fair, we don’t need a plan B: SK Munjal",Positive
"Panaya, the firm that undid Sikka regime at Infosys, lined up for sale",Neutral
Axis Bank's Shikha Sharma Vs ICICI Bank's Chanda Kochhar: Detailed comparative analysis,Neutral
Max Healthcare: Analjit Singh eyes Life Healthcare Group’s 47.5% stake,Neutral
"Essar Steel case: NCLT reserves order, stay on opening of bids to continue",Neutral
IHH Healthcare set to buy non-promoter stake in Fortis via voluntary open offer,Neutral
Aircel files for bankruptcy under insolvency code,Neutral
"Essar Steel auction: Lakshmi Mittal meets Jaitley, conveys 'serious interest'",Positive
Aditya Birla Group to invest Rs 25K crore in Uttar Pradesh,Neutral
Adani Group to invest Rs 35K crore in Uttar Pradesh,Neutral
Hello Brother: Jio to buy RCom's wireless assets; definitive pact inked,Positive
N.Chandrasekaran New Year message to staff: strive for simplification and reduce complexity,Neutral
"Anil Ambani says  RCom to exit from SDR framework, to reduce debt by Rs 25,000cr",Negative
Bharti family pledges 10 pct of wealth towards philanthropy,Positive
Watch: Nilekani's EkStep to be part of philanthropic venture of Bill Gates,Neutral
"Fairness to entire body of shareholders key to corp governance, says Uday Kotak",Neutral
RC Bhargava confident of Maruti Suzuki's number one spot in EV segment,Positive
Banks should gear up to start resolving stressed assets: Chanda Kochhar on PSB recap,Positive
Stable India requires prosperous India: Venkaiah Naidu at ET Awards,Positive
Maruti Suzuki wins Company of the Year award for corporate excellence,Positive
ITC's YC Deveshwar wins Lifetime Achievement award for corporate excellence,Positive
FM Arun Jaitley wins Business Reformer award for corporate excellence,Positive
Mukesh Ambani lauds 'passionate' Reliance Jio employees at ET Awards,Positive
Mukesh Ambani wins Business Leader award for corporate excellence,Positive
Ola's Bhavish Aggarwal wins Entrepreneur award for corporate excellence,Positive
ET Awards for Corporate Excellence 2017: The winners,Positive
Mahindra & Mahindra wins Corporate Citizen award for empowering the girl child,Positive
Incremental vs 'big bang' reforms: Arun Jaitley takes a dig at columnists,Neutral
"ET Awards: All macros point to revival, expect 7% GDP soon, says Jayant Sinha",Positive
"ET Awards: India has lowest tax rate globally, says FM Arun Jaitley",Positive
BCCL MD Vineet Jain's welcome speech at ET Awards 2017,Positive
"ET Awards: Economy is in right direction, says A Balasubramanian",Positive
Key aide Nirmalya Kumar opens up on Cyrus Mistry sacking,Neutral
No independent woman director at 38% of NSE-listed firms: Report,Negative
Swachh Corporate Abhiyaan: Key takeaways from Kotak panel recos to SEBI,Neutral
Corporate governance: Uday Kotak-led panel submits report to SEBI,Neutral
Kotak panel report on corp governance likely today,Neutral
RCom fate hangs in balance; stock tanks 9% post Aircel deal collapse,Negative
Key takeaways from Reliance ADAG AGMs,Neutral
Calcutta HC admits winding-up plea against Binani Ind,Positive
Tata-Mistry feud deepens with holding firm plan,Negative
Essar Oil completes sale of India assets to Rosneft for $12.9 bn,Positive
RCom files caveat before NCLAT: Sources to ET Now,Neutral
"NCLT approves RCom-Aircel merger, Brookfield deal",Positive
MobiKwik raises Rs 225 crore from Bajaj Finance,Neutral
CCI gives unconditional nod to Vodafone-Idea merger,Neutral
Steady quarter; focus remains on transition: TCS CEO on Q1 numbers,Neutral
"Bharti Airtel launches Project Next, to invest Rs 2000 crore",Neutral
"43 McDonald's Delhi outlets to shut, 1700 will lose jobs",Negative
NPA cleanup: Banks to finalise resolution plan,Neutral
Flipkart Snapdeal in final lap,Neutral
Future Group to raise $200mn for its verticals,Neutral
Adani gives final approval for $4 bn Australia coal mine project,Positive
Ravindra Pisharody resigns from Tata Motors,Negative
Rubeina Karachiwalla talks about India’s first organic makeup range,Neutral
IRDA rejects HDFC Life-Max Life merger plan,Negative
RComm defaults on interest payments to banks,Positive
SEBI to investigate Diageo-Mallya payout,Neutral
Q4 is an investment quarter for travel businesses: Madhavan Menon,Neutral
Cognizant refutes layoff reports,Neutral
"Bank has enough capital for next 1-1.5 years: Nasser Munjee, DCB Bank",Neutral
HDFC Life gears up for an IPO; merger with Max Life delayed,Negative
Flipkart and Snapdeal sign non binding termsheet,Neutral
Shuva Mundal to succeed Bharat Vasani as Group General Counsel of Tata Sons,Positive
"iSpirt's Sharad Sharma admits to trolling Aadhaar critics, apologizes",Positive
Premji Invest writes to Snapdeal board on sale,Neutral
SBI to fast track mega fund raising plans,Neutral
OYO launches 'OYO Townhouse' project,Neutral
AWFIS: Revolutionising shared workspace,Positive
Saurabh Agrawal to join Tata Sons as new Group CFO,Positive
Aiming for double-digit revenue growth: Just Dial CFO,Positive
"Ikea breaks ground for its Rs 1,000-crore Mumbai store",Neutral
"Warburg Pincus sold 25% stake in Capital First, not 20%: V Vaidyanathan",Neutral
"Made Rs 45,000 cr investments in India over the last 8-9 yrs: Koushik Chatterjee, Tata Steel",Neutral
JV with Khimji Group is beginning of our global journey: Kishore Biyani,Neutral
Tata Steel agrees to British pension deal,Positive
Financial position of the company has become considerably better: Gautam Roy,Positive
SBI may merge two credit card JVs post GE exit,Positive
Piramal Group likely to invest Rs1400 cr to fund expansion: Electrosteel,Neutral
LIC to clear Rosneft-Essar Oil deal only after payment of dues,Positive
Chanda Kochhar honoured with the Woodrow Wilson Award,Positive
Piramal Ent reports 61% rise in Q4 PAT; to raise Rs 5k crore,Neutral
VC investments: Who invested what this week,Neutral
Fortigo Network raises $10 mn from existing investors,Neutral
Margins depend on how rupee plays out and price of raw materials: KBS Anand,Positive
